,new_machine,cost,revenue
1151,1,3.24,26.94
1152,1,1.0,2.84
1153,1,0.96,5.38
1154,0,4.83,44.72
1155,1,9.69,90.99
1156,0,1.14,8.2
1157,0,5.26,47.86
1158,1,1.0,0.24
1159,0,3.02,26.23
1160,0,4.17,37.91
1161,1,0.53,2.13
1162,0,1.67,11.61
1163,0,6.7,60.85
1164,1,0.74,0.36
1165,0,0.05,0.0
1166,0,2.68,22.78
1167,1,2.57,15.47
1168,1,5.28,43.92
1169,0,7.71,71.6
1170,1,1.69,8.46
1171,1,1.62,10.54
1172,1,2.17,16.33
1173,1,2.92,19.97
1174,1,13.24,121.0
1175,0,3.59,30.63
1176,0,1.48,11.71
1177,1,1.55,6.12
1178,1,9.39,84.55
1179,1,0.72,0.58
1180,0,3.82,32.37
1181,1,8.24,75.02
1182,1,3.92,29.19
1183,0,1.65,13.06
1184,1,1.62,3.54
1185,0,1.37,8.76
1186,1,4.68,33.77
1187,0,3.15,27.15
1188,0,7.89,74.62
1189,0,6.05,57.42
1190,0,5.08,45.65
1191,0,7.27,70.25
1192,0,0.97,6.16
1193,0,1.38,10.82
1194,1,1.93,12.09
1195,0,2.47,21.93
1196,1,3.33,28.75
1197,1,1.57,5.74
1198,1,0.51,0.0
1199,1,1.59,10.68
1200,0,1.11,6.81
1201,1,8.67,82.57
1202,1,7.57,64.49
1203,0,5.91,55.69
1204,1,3.54,27.64
1205,1,2.11,10.64
1206,0,2.39,20.63
1207,0,5.07,45.88
1208,1,0.97,1.23
1209,0,4.84,45.65
1210,1,0.56,0.0
1211,0,5.09,45.92
1212,0,4.94,45.27
1213,0,0.16,0.0
1214,1,3.62,25.33
1215,0,2.09,16.18
1216,0,0.56,1.65
1217,0,0.48,1.31
1218,0,4.45,41.95
1219,0,2.52,21.28
1220,0,12.22,119.51
1221,1,12.58,117.36
1222,0,14.75,143.91
1223,1,1.3,3.03
1224,0,8.35,79.13
1225,1,1.06,4.39
1226,1,2.12,15.1
1227,1,5.08,40.07
1228,0,0.68,3.47
1229,0,2.51,20.52
1230,0,0.62,1.98
1231,0,0.33,0.0
1232,1,1.01,0.0
1233,0,1.33,9.16
1234,1,0.57,0.0
1235,0,1.66,12.44
1236,1,3.58,31.15
1237,0,1.54,12.84
1238,1,0.63,0.0
1239,1,0.29,0.0
1240,0,0.98,6.54
1241,0,0.56,1.41
1242,1,10.82,98.59
1243,1,0.55,0.0
1244,1,5.38,45.49
1245,1,3.43,25.3
1246,0,2.53,20.44
1247,1,2.57,16.43
1248,0,10.7,102.44
1249,0,1.36,9.83
1250,0,4.65,43.58
1251,0,2.43,19.88
1252,0,1.51,10.69
1253,0,9.33,88.75
1254,1,2.96,24.57
1255,0,0.38,0.84
1256,1,2.61,15.42
1257,1,4.98,42.4
1258,1,3.96,31.38
1259,1,7.73,70.74
1260,1,1.46,6.07
1261,0,4.26,38.43
1262,0,1.85,15.24
1263,1,3.56,25.01
1264,1,10.25,91.36
1265,1,12.47,112.49
1266,0,5.93,55.82
1267,0,1.33,10.65
1268,1,7.18,61.91
1269,0,3.05,26.05
1270,0,1.69,13.52
1271,1,0.33,0.0
1272,0,4.41,40.15
1273,0,2.09,18.68
1274,1,4.96,42.71
1275,0,4.14,38.61
1276,1,5.28,44.51
1277,0,1.07,5.25
1278,0,4.84,43.63
1279,0,2.39,20.03
1280,0,1.92,15.76
1281,0,3.37,28.22
1282,1,0.68,0.0
1283,0,0.32,0.0
1284,1,1.48,5.39
1285,1,12.92,118.06
1286,0,0.45,0.0
1287,1,1.31,10.49
1288,1,0.74,0.15
1289,1,1.67,8.76
1290,1,2.15,11.15
1291,0,8.8,83.49
1292,0,5.6,52.49
1293,1,1.55,11.47
1294,1,0.53,0.0
1295,0,5.33,49.9
1296,0,3.24,28.72
1297,1,1.23,3.79
1298,1,17.5,163.25
1299,1,1.28,0.89
1300,1,6.97,58.13
1301,0,1.05,5.17
1302,0,1.71,15.06
1303,1,5.15,44.33
1304,1,4.21,33.67
1305,1,8.8,79.61
1306,0,2.91,25.31
1307,0,0.31,0.0
1308,1,6.84,61.82
1309,1,4.48,39.95
1310,0,3.73,34.03
1311,1,1.12,0.48
1312,0,1.51,11.3
1313,1,1.52,3.0
1314,0,5.18,47.41
1315,1,3.72,32.33
1316,1,6.67,61.83
1317,0,10.2,99.25
1318,0,4.47,41.34
1319,0,15.47,149.52
1320,1,3.07,23.9
1321,0,0.11,0.0
1322,1,0.14,0.0
1323,0,1.26,8.95
1324,0,5.2,48.47
1325,0,6.03,57.11
1326,1,10.15,94.03
1327,0,0.2,0.0
1328,1,1.12,0.0
1329,1,7.77,69.42
1330,0,1.09,6.4
1331,0,2.45,19.69
1332,0,12.13,118.2
1333,1,1.8,12.48
1334,0,3.29,26.99
1335,0,1.54,10.44
1336,1,4.58,39.8
1337,1,2.28,17.16
1338,0,0.81,4.64
1339,1,1.89,8.42
1340,1,1.62,5.91
1341,1,3.12,22.11
1342,0,3.64,31.75
1343,0,8.94,88.91
1344,1,4.42,33.94
1345,0,4.56,42.02
1346,1,0.88,2.17
1347,0,1.41,10.83
1348,0,1.6,10.7
1349,1,4.09,32.59
1350,1,1.15,9.02
1351,1,1.45,8.93
1352,0,1.32,7.8
1353,1,5.08,45.7
1354,1,3.31,22.29
1355,1,0.51,0.0
1356,0,0.24,0.0
1357,1,2.37,12.14
1358,0,4.36,39.8
1359,1,4.18,31.53
1360,0,3.69,32.62
1361,0,4.37,37.65
1362,0,1.02,6.99
1363,0,2.38,20.25
1364,0,2.35,17.8
1365,1,4.29,37.34
1366,0,9.43,91.25
1367,0,0.98,7.48
1368,0,4.73,42.67
1369,1,4.22,29.47
1370,1,3.52,23.9
1371,0,4.47,40.16
1372,0,8.65,82.64
1373,1,0.74,0.0
1374,0,0.48,1.31
1375,1,4.84,40.32
1376,0,0.26,0.0
1377,0,2.18,18.03
1378,0,0.74,3.71
1379,1,1.72,8.17
1380,0,3.63,31.66
1381,1,0.57,0.0
1382,0,6.2,57.07
1383,1,1.85,15.29
1384,0,2.09,15.15
1385,1,2.97,21.73
1386,1,3.93,28.12
1387,1,1.32,6.52
1388,0,0.32,0.0
1389,0,1.15,6.44
1390,0,0.55,2.17
1391,1,2.85,20.7
1392,0,1.15,5.44
1393,0,9.52,92.58
1394,1,10.41,99.6
1395,0,2.9,24.37
1396,0,2.88,26.38
1397,0,12.68,122.24
1398,1,6.79,62.48
1399,1,4.84,39.11
1400,1,2.05,10.51
1401,1,1.57,11.33
1402,1,1.22,3.46
1403,0,2.0,15.55
1404,0,13.93,136.06
1405,1,8.2,69.03
1406,0,0.38,0.0
1407,0,0.08,0.0
1408,1,6.87,66.56
1409,0,2.31,19.44
1410,0,0.67,2.97
1411,1,3.77,29.12
1412,1,3.56,30.04
1413,0,0.39,0.17
1414,1,1.64,6.0
1415,1,0.58,0.43
1416,1,1.22,3.38
1417,1,0.49,0.54
1418,0,0.64,1.95
1419,1,4.0,30.19
1420,1,1.13,0.0
1421,1,1.19,1.56
1422,1,0.78,0.0
1423,0,1.14,9.16
1424,0,1.06,5.67
1425,1,1.34,6.15
1426,0,4.17,38.33
1427,1,19.65,183.73
1428,0,2.29,19.63
1429,1,9.25,86.46
1430,0,1.52,10.61
1431,0,0.34,0.0
1432,0,1.58,12.11
1433,1,1.83,7.7
1434,1,2.33,18.65
1435,0,3.21,28.67
1436,1,1.98,16.31
1437,1,8.68,79.3
1438,1,7.21,63.16
1439,0,3.63,30.46
1440,1,2.53,15.9
1441,1,0.9,0.0
1442,1,1.57,10.91
1443,1,3.98,32.6
1444,0,1.01,3.73
1445,0,0.33,0.0
1446,1,7.63,69.5
1447,1,4.11,33.24
1448,1,3.63,26.2
1449,0,4.72,42.94
1450,1,5.83,52.96
1451,0,1.98,15.56
1452,0,6.39,58.63
1453,1,7.64,71.28
1454,1,1.37,5.65
1455,1,3.69,24.82
1456,0,2.24,18.24
1457,0,2.32,19.85
1458,0,8.33,77.34
1459,0,1.09,7.42
1460,0,12.3,119.54
1461,1,7.61,67.28
1462,1,2.81,18.72
1463,1,6.02,48.95
1464,0,4.4,40.16
1465,0,3.4,29.61
1466,1,1.26,8.0
1467,0,0.66,2.45
1468,1,3.79,29.03
1469,0,5.55,52.07
1470,1,0.82,0.0
1471,0,3.09,25.8
1472,1,2.15,14.57
1473,1,7.15,63.47
1474,0,1.16,8.36
1475,1,2.35,16.03
1476,0,2.17,18.96
1477,0,0.45,0.0
1478,0,3.74,33.81
1479,1,5.44,48.85
1480,1,0.27,0.0
1481,1,1.19,5.92
1482,0,0.12,0.0
1483,0,9.41,90.86
1484,0,3.3,29.45
1485,0,9.99,97.27
1486,0,2.27,18.34
1487,0,4.86,44.4
1488,0,1.41,10.56
1489,1,1.94,9.56
1490,0,1.43,8.7
1491,0,3.22,28.78
1492,1,1.4,10.66
1493,1,7.08,65.1
1494,1,12.92,119.85
1495,1,0.72,0.23
1496,1,0.91,3.91
1497,1,0.62,1.18
1498,1,0.55,0.0
1499,1,1.25,3.75
1500,0,1.78,12.24
1501,1,6.12,51.77
1502,0,0.75,5.38
1503,0,2.04,18.5
1504,0,7.96,73.76
1505,1,3.89,31.48
1506,0,4.8,42.92
1507,0,2.4,20.34
1508,1,12.31,113.66
1509,1,2.77,22.2
1510,0,0.14,0.0
1511,1,1.61,5.15
1512,0,1.56,12.78
1513,1,2.8,23.96
1514,1,5.29,42.84
1515,1,2.44,14.02
1516,0,3.71,32.03
1517,0,4.68,44.82
1518,0,1.14,8.44
1519,1,12.44,114.47
1520,1,3.95,29.67
1521,1,7.35,62.32
1522,0,2.44,19.54
1523,0,4.06,37.25
1524,0,4.42,38.33
1525,0,7.17,66.97
1526,0,0.49,1.22
1527,0,2.45,20.51
1528,0,1.68,13.61
1529,1,8.37,72.34
1530,0,0.33,0.0
1531,1,12.76,119.51
1532,0,6.25,58.21
1533,1,0.96,0.0
1534,1,2.13,16.65
1535,1,4.5,34.64
1536,0,4.02,34.22
1537,1,7.12,67.68
1538,1,5.15,44.29
1539,1,1.32,7.17
1540,1,2.09,16.5
1541,1,4.5,35.05
1542,0,0.45,0.0
1543,1,1.38,2.81
1544,0,1.97,15.69
1545,0,1.06,7.65
1546,0,5.95,55.76
1547,0,2.65,23.62
1548,0,1.29,7.28
1549,0,5.67,52.31
1550,0,4.9,44.87
1551,1,19.67,186.87
1552,1,6.49,55.14
1553,1,2.34,15.15
1554,1,0.74,0.0
1555,1,6.41,51.6
1556,0,0.18,0.0
1557,1,2.04,12.68
1558,0,7.57,71.84
1559,1,10.08,93.35
1560,0,3.07,27.78
1561,1,3.96,32.37
1562,1,0.75,0.0
1563,1,2.9,18.65
1564,1,3.29,22.49
1565,1,1.83,9.13
1566,0,0.21,0.0
1567,1,1.77,6.59
1568,1,1.88,9.88
1569,1,1.97,13.67
1570,1,3.32,22.52
1571,1,4.57,35.46
1572,1,1.79,7.63
1573,1,1.25,8.33
1574,1,0.25,0.0
1575,0,0.13,0.0
1576,1,1.14,5.7
1577,0,4.04,36.31
1578,0,2.97,25.84
1579,1,4.64,41.42
1580,1,4.56,40.05
1581,0,5.83,54.37
1582,0,3.82,33.77
1583,0,11.59,112.0
1584,1,7.15,64.9
1585,0,2.65,21.71
1586,1,3.23,23.73
1587,0,0.1,0.0
1588,0,19.56,191.5
1589,1,0.73,0.63
1590,0,4.05,35.96
1591,0,5.16,48.21
1592,1,1.54,11.41
1593,0,0.66,0.46
1594,1,0.86,0.86
1595,1,4.43,38.17
1596,1,2.19,15.04
1597,1,4.54,35.07
1598,0,7.41,69.99
1599,0,0.48,0.0
1600,1,8.23,71.0
1601,1,1.74,11.2
1602,0,1.09,5.52
1603,1,9.24,85.03
1604,1,14.55,137.88
1605,1,1.4,3.99
1606,1,3.76,29.92
1607,0,0.34,0.0
1608,0,3.16,27.78
1609,0,5.27,47.0
1610,0,3.46,29.86
1611,0,1.62,10.74
1612,1,2.29,12.31
1613,0,1.5,8.65
1614,1,3.6,25.39
1615,0,6.4,58.3
1616,1,8.65,77.67
1617,1,0.77,0.6
1618,1,0.97,1.36
1619,1,0.58,0.0
1620,0,0.64,1.91
1621,0,1.28,9.55
1622,1,2.52,19.22
1623,0,2.98,24.85
1624,1,4.23,35.65
1625,1,7.03,61.84
1626,1,13.96,132.59
1627,0,3.26,29.66
1628,0,5.6,50.77
1629,0,4.52,41.85
1630,1,1.28,5.62
1631,0,6.25,57.9
1632,1,0.31,0.0
1633,0,0.0,0.0
1634,0,0.96,3.59
1635,1,2.43,15.99
1636,0,3.05,25.2
1637,1,0.73,0.89
1638,0,3.35,30.09
1639,0,4.86,46.08
1640,1,1.55,5.03
1641,0,1.61,12.87
1642,0,2.2,17.56
1643,0,1.8,12.92
1644,1,5.7,46.55
1645,0,9.7,91.8
1646,0,4.81,44.44
1647,1,1.08,0.0
1648,1,5.07,44.35
1649,1,0.58,0.0
1650,0,0.81,2.86
1651,1,1.43,3.02
1652,1,0.67,1.8
1653,1,3.13,19.03
1654,0,3.34,28.05
1655,0,1.91,15.93
1656,0,9.63,91.35
1657,1,0.97,3.27
1658,1,4.46,40.48
1659,1,7.0,58.78
1660,0,2.48,20.26
1661,1,2.19,13.36
1662,1,2.97,23.32
1663,0,1.68,11.82
1664,0,2.43,20.59
1665,0,1.62,13.51
1666,0,1.53,12.56
1667,1,4.48,33.61
1668,0,0.29,0.0
1669,0,0.55,1.0
1670,1,6.35,54.84
1671,1,4.7,39.47
1672,1,1.17,6.4
1673,1,2.03,10.43
1674,1,8.27,75.58
1675,0,5.11,46.58
1676,0,2.86,23.48
1677,1,1.42,3.85
1678,1,0.83,0.0
1679,0,1.69,12.36
1680,1,3.87,31.51
1681,1,5.63,49.81
1682,1,6.67,56.16
1683,1,0.58,0.0
1684,1,1.41,4.23
1685,1,1.77,10.51
1686,1,1.63,4.25
1687,1,5.77,47.13
1688,0,4.38,39.12
1689,0,2.18,18.48
1690,0,12.21,119.03
1691,1,0.92,0.0
1692,1,7.6,67.11
1693,1,1.09,1.24
1694,0,0.53,2.18
1695,0,3.57,32.67
1696,0,0.35,0.0
1697,0,2.5,21.39
1698,0,1.64,12.13
1699,0,3.91,34.84
1700,1,7.75,67.52
1701,0,4.41,39.9
1702,1,6.05,53.29
1703,1,0.58,0.0
1704,1,1.58,7.0
1705,0,2.17,18.21
1706,0,1.61,12.48
1707,0,0.79,3.54
1708,0,1.1,8.53
1709,0,8.72,82.98
1710,1,1.25,7.1
1711,0,1.31,9.76
1712,0,0.01,0.0
1713,1,5.85,52.8
1714,0,0.5,0.57
1715,0,0.69,4.5
1716,1,1.48,5.21
1717,1,7.13,60.77
1718,1,1.31,3.55
1719,0,4.79,42.18
1720,1,5.3,45.27
1721,1,8.24,74.6
1722,1,0.57,0.56
1723,1,0.94,3.85
1724,1,4.53,36.53
1725,0,0.65,2.38
1726,0,1.01,5.52
1727,0,0.55,1.86
1728,0,0.57,0.16
1729,0,1.97,16.13
1730,1,1.1,0.0
1731,0,1.16,6.41
1732,0,1.67,10.9
1733,0,0.07,0.0
1734,0,1.47,8.55
1735,1,0.44,2.07
1736,1,2.97,17.45
1737,1,6.0,50.12
1738,1,5.27,48.55
1739,1,0.35,0.0
1740,1,3.68,26.6
1741,1,6.35,52.22
1742,0,0.82,2.9
1743,0,4.31,37.85
1744,0,6.64,60.62
1745,0,4.92,44.9
1746,1,0.6,0.0
1747,1,0.39,0.0
1748,0,0.64,4.59
1749,1,1.41,5.88
1750,1,3.14,26.63
1751,1,2.01,10.88
1752,1,4.48,34.36
1753,1,1.71,10.02
1754,0,0.5,0.23
1755,1,2.06,9.68
1756,0,6.47,59.88
1757,1,9.78,90.73
1758,1,1.04,4.44
1759,1,5.16,45.28
1760,1,1.05,6.4
1761,0,6.54,62.0
1762,1,1.25,2.16
1763,1,4.03,28.01
1764,1,0.73,0.0
1765,1,11.8,105.82
1766,1,4.21,30.82
1767,1,6.29,54.09
1768,0,2.51,21.58
1769,0,1.94,15.54
1770,0,2.92,25.69
1771,1,2.38,19.15
1772,1,1.94,15.85
1773,1,4.67,39.65
1774,1,0.6,2.59
1775,0,0.56,2.86
1776,0,1.7,12.27
1777,1,1.89,8.23
1778,1,0.73,0.0
1779,1,5.6,51.03
1780,0,4.43,40.96
1781,0,2.36,18.7
1782,1,12.24,111.65
1783,0,0.23,0.0
1784,1,4.43,40.77
1785,0,0.93,6.37
1786,0,1.38,11.09
1787,0,0.74,4.18
1788,0,4.67,43.28
1789,1,1.31,1.21
1790,0,5.5,51.62
1791,1,3.31,28.65
1792,1,0.42,0.0
1793,0,5.0,44.57
1794,0,2.96,25.05
1795,0,7.06,65.45
1796,1,4.92,38.85
1797,1,2.65,21.05
1798,1,6.08,50.41
1799,1,1.2,5.62
1800,1,3.15,21.14
1801,0,1.04,7.72
1802,0,10.35,98.82
1803,0,0.77,3.12
1804,0,0.05,0.0
1805,1,1.95,11.63
1806,1,2.43,18.72
1807,1,0.16,0.0
1808,1,3.16,21.53
1809,1,6.36,57.0
1810,1,3.78,32.37
1811,0,2.93,28.05
1812,1,9.78,89.65
1813,0,9.53,90.47
1814,0,5.22,48.68
1815,0,2.81,22.39
1816,1,2.69,19.14
1817,0,0.04,0.0
1818,1,3.62,26.28
1819,0,13.55,130.5
1820,0,5.11,46.3
1821,1,1.88,9.97
1822,1,0.86,2.18
1823,1,4.99,42.27
1824,1,4.89,38.37
1825,0,10.24,99.11
1826,1,6.41,59.91
1827,0,2.43,20.51
1828,1,1.06,1.76
1829,0,1.98,16.12
1830,0,1.13,6.71
1831,1,3.14,18.74
1832,1,2.0,8.1
1833,1,6.36,56.48
1834,0,5.58,52.68
1835,1,1.43,8.81
1836,1,3.67,24.91
1837,0,1.69,12.69
1838,1,7.93,69.25
1839,1,0.96,4.23
1840,1,4.55,32.36
1841,0,10.56,99.54
1842,1,0.99,2.45
1843,1,1.19,4.92
1844,0,3.55,31.08
1845,1,4.76,43.05
1846,0,2.02,16.01
1847,1,3.53,25.02
1848,0,0.72,2.39
1849,0,1.94,16.21
1850,0,0.36,0.0
1851,1,1.84,8.27
1852,0,1.01,4.49
1853,0,1.76,14.11
1854,1,8.36,77.94
1855,0,0.6,3.09
1856,0,1.54,11.72
1857,1,3.55,25.7
1858,0,8.79,82.7
1859,0,0.43,0.0
1860,0,7.5,71.09
1861,1,1.19,0.0
1862,0,1.97,15.64
1863,0,1.82,13.51
1864,0,0.71,3.63
1865,1,2.16,11.26
1866,1,2.34,15.16
1867,0,6.01,55.18
1868,1,9.75,90.33
1869,1,2.44,19.17
1870,1,6.99,59.19
1871,0,2.81,24.68
1872,0,1.29,9.14
1873,0,0.65,3.96
1874,1,1.93,12.62
1875,1,3.08,18.93
1876,0,0.14,0.0
1877,0,0.47,2.1
1878,1,2.88,23.42
1879,0,0.76,2.03
1880,1,5.58,48.75
1881,0,1.19,8.1
1882,0,0.33,0.0
1883,1,1.02,0.77
1884,0,8.3,80.39
1885,1,1.14,3.11
1886,1,0.96,0.95
1887,0,5.96,55.71
1888,1,1.4,5.36
1889,1,3.85,31.15
1890,0,5.09,48.75
1891,0,2.8,25.49
1892,1,10.05,94.4
1893,1,3.97,33.08
1894,1,0.66,0.0
1895,1,2.95,20.96
1896,1,4.03,36.4
1897,0,4.86,45.03
1898,0,0.08,0.0
1899,1,3.99,35.08
1900,0,5.24,47.69
1901,1,4.56,39.0
1902,1,3.1,20.5
1903,1,2.25,13.73
1904,1,2.4,19.78
1905,1,3.86,33.07
1906,0,7.69,73.03
1907,1,3.24,27.16
1908,0,6.56,61.64
1909,1,4.01,33.74
1910,1,0.51,0.0
1911,1,2.89,18.71
1912,0,1.01,8.13
1913,1,1.88,8.84
1914,0,1.32,9.53
1915,1,1.46,6.73
1916,1,2.81,22.22
1917,0,3.45,32.29
1918,1,1.89,8.18
1919,1,0.77,1.36
1920,0,0.18,0.0
1921,1,2.82,23.2
1922,1,0.71,2.55
1923,1,0.26,0.0
1924,1,8.53,75.49
1925,1,3.02,19.75
1926,1,0.71,0.0
1927,0,5.55,52.31
1928,1,12.43,119.71
1929,0,1.79,14.37
1930,0,0.13,0.0
1931,1,0.61,0.0
1932,1,1.64,9.53
1933,0,6.5,61.41
1934,1,1.46,1.13
1935,0,5.21,49.37
1936,0,0.05,0.0
1937,1,2.27,16.12
1938,0,3.1,26.51
1939,1,0.95,0.0
1940,0,2.86,25.0
1941,0,8.67,81.93
1942,0,0.52,0.25
1943,0,3.92,36.29
1944,1,3.11,24.89
1945,0,0.61,1.54
1946,0,0.02,0.0
1947,1,0.61,0.0
1948,1,2.84,19.81
1949,1,9.32,84.06
1950,0,3.1,26.46
1951,1,4.19,33.0
1952,0,2.04,16.71
1953,0,2.62,22.51
1954,1,0.68,0.62
1955,0,6.28,61.43
1956,0,4.29,38.0
1957,1,19.68,187.54
1958,1,1.17,6.83
1959,1,1.5,7.82
1960,0,0.4,1.33
1961,1,10.68,97.61
1962,1,5.47,44.04
1963,1,1.26,3.12
1964,1,2.63,19.09
1965,0,1.6,12.66
1966,1,0.74,0.0
1967,1,1.36,1.7
1968,1,10.52,97.51
1969,0,1.09,8.17
1970,1,9.09,82.62
1971,0,0.24,0.0
1972,1,2.12,15.62
1973,1,0.88,0.97
1974,1,0.15,0.0
1975,0,2.42,21.14
1976,1,0.91,1.02
1977,0,3.84,33.86
1978,0,3.59,32.81
1979,1,1.51,5.05
1980,0,8.53,82.12
1981,0,3.83,33.08
1982,0,1.06,7.2
1983,1,3.83,32.51
1984,0,3.95,33.74
1985,1,1.45,9.33
1986,1,1.54,12.54
1987,1,2.29,12.12
1988,0,2.88,24.18
1989,1,6.95,65.44
1990,1,1.02,3.3
1991,1,6.83,58.97
1992,1,0.26,0.0
1993,1,3.96,29.98
1994,1,2.54,12.48
1995,1,5.2,43.91
1996,1,3.95,34.55
1997,1,2.81,16.08
1998,0,3.1,26.14
1999,1,2.92,18.21
2000,0,5.01,45.19
2001,1,2.78,16.35
2002,1,2.6,18.31
2003,0,0.87,5.3
2004,1,2.87,24.13
2005,0,1.08,5.49
2006,0,2.58,19.92
2007,0,0.56,1.45
2008,1,1.12,3.29
2009,1,2.52,12.12
2010,0,1.67,12.0
2011,0,0.94,4.48
2012,0,0.42,0.0
2013,0,0.12,0.0
2014,0,0.08,0.0
2015,1,1.84,5.25
2016,0,1.86,14.37
2017,0,3.89,34.17
2018,1,2.4,16.73
2019,1,7.32,66.61
2020,1,0.2,0.0
2021,1,1.48,3.27
2022,0,1.24,7.35
2023,1,3.39,25.18
2024,0,5.75,52.8
2025,1,2.11,10.44
2026,0,0.94,7.49
2027,0,0.19,0.0
2028,0,5.17,48.51
2029,0,1.43,9.72
2030,1,3.31,23.69
2031,1,13.08,121.78
2032,0,0.0,0.0
2033,1,1.3,3.34
2034,1,4.62,41.36
2035,1,5.73,46.45
2036,0,4.4,40.03
2037,1,2.52,19.0
2038,0,11.57,110.79
2039,0,1.51,11.02
2040,0,2.76,24.44
2041,0,0.2,0.0
2042,0,1.58,12.56
2043,1,4.84,36.29
2044,0,0.82,2.63
2045,0,8.64,83.72
2046,1,3.89,32.56
2047,0,1.02,5.02
2048,1,4.78,39.54
2049,0,0.26,0.0
2050,1,11.38,106.09
2051,1,0.27,0.0
2052,0,8.13,78.84
2053,0,0.87,4.88
2054,1,4.37,39.92
2055,0,0.0,0.0
2056,1,1.39,5.73
2057,1,4.74,39.21
2058,1,2.32,18.71
2059,0,0.37,0.0
2060,1,1.94,12.35
2061,0,1.41,9.53
2062,1,3.25,22.58
2063,0,3.31,27.83
2064,1,5.87,50.08
2065,0,2.06,15.58
2066,0,1.49,12.35
2067,1,1.32,2.75
2068,0,4.9,45.09
2069,0,3.75,33.77
2070,0,1.58,12.37
2071,1,2.39,19.61
2072,0,3.28,28.56
2073,1,0.73,2.47
2074,1,0.28,0.0
2075,0,1.15,7.61
2076,0,2.72,21.0
2077,1,2.09,16.52
2078,1,4.43,32.75
2079,0,5.14,47.71
2080,1,2.17,16.59
2081,0,0.43,1.63
2082,1,6.04,53.66
2083,1,3.46,24.1
2084,0,4.04,36.94
2085,1,3.8,32.63
2086,0,10.35,98.46
2087,1,1.1,6.84
2088,0,3.67,30.98
2089,1,1.96,11.28
2090,0,1.51,11.52
2091,0,0.79,5.53
2092,0,1.26,8.48
2093,1,8.99,84.06
2094,1,1.69,6.94
2095,0,0.85,4.86
2096,0,2.62,21.92
2097,0,0.9,5.02
2098,0,1.92,15.01
2099,0,5.39,49.91
2100,1,1.17,3.33
2101,0,1.67,11.22
2102,1,3.47,26.6
2103,1,3.19,21.15
2104,1,11.89,108.31
2105,0,3.42,29.04
2106,0,4.04,36.91
2107,0,10.23,98.03
2108,1,1.81,13.23
2109,1,1.33,9.74
2110,1,0.69,0.0
2111,1,1.31,3.54
2112,1,1.21,2.8
2113,0,0.61,1.98
2114,1,4.54,38.99
2115,0,2.3,18.51
2116,1,3.68,28.27
2117,0,5.15,47.82
2118,0,0.79,3.32
2119,1,2.15,10.16
2120,1,3.96,32.92
2121,0,1.5,10.39
2122,0,0.09,0.0
2123,0,1.71,13.21
2124,0,7.17,68.11
2125,1,1.95,12.47
2126,0,1.21,8.82
2127,0,13.68,133.41
2128,1,3.91,28.42
2129,0,1.37,10.61
2130,0,0.32,0.0
2131,0,4.65,42.93
2132,0,3.69,32.25
2133,1,8.6,75.19
2134,0,0.73,2.19
2135,0,0.37,0.0
2136,0,3.86,35.44
2137,1,1.68,2.66
2138,0,0.58,1.1
2139,1,1.32,7.76
2140,0,5.09,47.83
2141,1,2.76,20.87
2142,0,0.14,0.0
2143,1,2.46,15.36
2144,0,3.46,31.27
2145,0,2.32,21.0
2146,0,2.55,20.29
2147,0,0.76,5.13
2148,1,6.36,52.58
2149,1,2.5,22.49
2150,1,4.72,33.67
2151,1,12.53,117.61
2152,1,2.11,12.06
2153,0,6.39,59.19
2154,0,0.02,0.0
2155,0,0.1,0.0
2156,0,2.68,24.47
2157,1,2.04,10.75
2158,0,0.86,5.13
2159,1,1.71,7.95
2160,1,2.09,9.46
2161,1,4.34,35.66
2162,1,2.63,20.97
2163,1,4.7,43.45
2164,0,5.32,50.51
2165,1,6.13,52.96
2166,0,1.61,12.71
2167,0,1.64,11.45
2168,0,7.82,73.9
2169,0,3.25,27.15
2170,1,1.16,1.0
2171,0,2.34,18.64
2172,1,1.86,9.27
2173,0,13.13,125.91
2174,0,0.04,0.0
2175,0,2.84,24.48
2176,0,3.86,34.43
2177,1,1.32,7.37
2178,1,11.27,106.52
2179,1,5.98,54.41
2180,0,7.42,68.85
2181,0,0.06,0.0
2182,1,3.01,21.71
2183,1,1.21,6.5
2184,0,5.67,53.49
2185,1,3.73,29.02
2186,0,2.32,19.19
2187,0,0.37,0.0
2188,0,2.33,19.93
2189,1,3.99,28.01
2190,1,9.44,90.08
2191,1,3.26,24.27
2192,1,10.53,98.72
2193,1,9.93,94.69
2194,1,3.44,28.74
2195,0,2.12,15.61
2196,1,2.51,14.82
2197,1,6.95,64.23
2198,1,0.19,0.0
2199,0,0.36,0.04
2200,0,0.32,0.0
2201,1,4.72,40.56
2202,0,1.24,7.99
2203,1,3.14,27.08
2204,1,3.27,23.28
2205,1,1.73,12.43
2206,0,2.28,17.95
2207,1,3.8,28.03
2208,0,8.49,81.25
2209,0,2.57,22.47
2210,0,2.86,25.53
2211,1,1.04,1.42
2212,1,9.72,86.87
2213,0,2.25,17.29
2214,1,4.94,43.75
2215,0,0.15,0.0
2216,0,1.64,12.33
2217,0,0.89,6.77
2218,0,0.93,4.97
2219,0,4.7,43.25
2220,1,3.53,24.09
2221,0,1.74,13.34
2222,0,0.03,0.0
2223,1,10.06,95.81
2224,1,9.88,95.16
2225,0,0.74,4.7
