Customer,State,Coverage,Education,EmploymentStatus,Gender,Income,Location Code,Marital Status,Vehicle Class,Vehicle Size, Customer Lifetime Value 
TC84427,Oregon,Basic,High School or Below,Employed,F,61080,Urban,Single,Four-Door Car,Medsize," $5,050 "
IQ82914,Oregon,Basic,Master,Employed,F,60415,Rural,Divorced,Two-Door Car,Small," $4,983 "
II83628,California,Basic,College,Employed,M,41045,Suburban,Single,Four-Door Car,Medsize," $7,397 "
ZR77995,California,Extended,College,Employed,M,97729,Rural,Married,Four-Door Car,Medsize," $3,833 "
QT89604,Arizona,Basic,High School or Below,Employed,F,55702,Rural,Married,Four-Door Car,Medsize," $4,961 "
AB21519,California,Extended,College,Employed,F,93272,Urban,Married,Four-Door Car,Medsize," $3,861 "
MP47256,California,Basic,Bachelor,Retired,M,23665,Suburban,Married,Four-Door Car,Medsize," $22,659 "
MA47641,Oregon,Basic,High School or Below,Retired,M,20228,Suburban,Divorced,SUV,Medsize," $10,409 "
GQ20713,Nevada,Basic,College,Employed,F,38713,Suburban,Divorced,Four-Door Car,Medsize," $4,835 "
WW87934,Arizona,Basic,Bachelor,Disabled,F,23815,Suburban,Married,Four-Door Car,Medsize," $8,258 "
HF75276,Nevada,Extended,High School or Below,Unemployed,F,0,Suburban,Divorced,Four-Door Car,Large," $3,053 "
ET64028,California,Extended,High School or Below,Employed,F,47221,Suburban,Married,Two-Door Car,Large," $4,012 "
QA41472,Oregon,Basic,Bachelor,Employed,M,34495,Urban,Married,SUV,Medsize," $13,355 "
UM69933,Nevada,Basic,College,Employed,M,46051,Suburban,Married,Two-Door Car,Large," $2,489 "
TX98128,California,Basic,College,Unemployed,F,0,Suburban,Single,Four-Door Car,Large," $13,864 "
XY52165,Arizona,Basic,College,Employed,F,78561,Suburban,Married,Two-Door Car,Medsize," $3,020 "
GB39003,California,Extended,High School or Below,Unemployed,M,0,Suburban,Single,Two-Door Car,Medsize," $6,285 "
KG81168,Arizona,Basic,Bachelor,Employed,M,65090,Rural,Married,Four-Door Car,Medsize," $2,826 "
WU14549,Nevada,Premium,Master,Employed,M,88495,Suburban,Married,Two-Door Car,Medsize," $4,370 "
XB17553,Nevada,Basic,Bachelor,Employed,M,52797,Rural,Married,Sports Car,Small," $12,175 "
MY88518,Nevada,Extended,Doctor,Employed,M,31278,Suburban,Married,Two-Door Car,Medsize," $3,528 "
XE18554,California,Extended,Bachelor,Medical Leave,F,24177,Suburban,Married,Four-Door Car,Medsize," $10,437 "
VT96364,California,Premium,Bachelor,Employed,M,68164,Rural,Single,Four-Door Car,Small," $9,175 "
ZY20779,Washington,Basic,High School or Below,Unemployed,M,0,Suburban,Single,Two-Door Car,Medsize," $4,979 "
NN65845,Washington,Basic,Bachelor,Disabled,F,21603,Suburban,Married,Four-Door Car,Large," $2,586 "
CE94751,California,Basic,College,Unemployed,M,0,Suburban,Single,Two-Door Car,Medsize," $4,569 "
VM85856,Oregon,Basic,Master,Employed,F,34990,Rural,Single,Four-Door Car,Medsize," $2,574 "
EH37385,Arizona,Basic,Master,Employed,F,22849,Suburban,Married,Sports Car,Medsize," $8,790 "
FI45719,Arizona,Basic,Doctor,Employed,M,32893,Urban,Married,Four-Door Car,Medsize," $2,507 "
WH81461,Nevada,Basic,College,Unemployed,M,0,Suburban,Single,SUV,Medsize," $7,543 "
XR97812,California,Basic,College,Unemployed,M,0,Suburban,Single,Four-Door Car,Medsize," $2,345 "
BW88060,California,Basic,High School or Below,Disabled,F,16994,Suburban,Married,SUV,Medsize," $8,783 "
CP32818,Oregon,Basic,Bachelor,Employed,M,64270,Rural,Single,Sports Car,Small," $4,530 "
YP40334,Oregon,Premium,Doctor,Unemployed,F,0,Rural,Single,SUV,Medsize," $5,308 "
KD63998,California,Basic,College,Employed,M,56342,Suburban,Single,Four-Door Car,Small," $2,675 "
VC77127,California,Basic,High School or Below,Unemployed,F,0,Suburban,Single,Four-Door Car,Medsize," $4,930 "
AM30008,California,Basic,High School or Below,Employed,M,28327,Suburban,Single,Luxury Car,Medsize," $14,131 "
PC83755,Oregon,Basic,High School or Below,Employed,M,95697,Rural,Married,Two-Door Car,Medsize," $2,472 "
XS22323,Arizona,Extended,High School or Below,Employed,M,26876,Suburban,Single,Four-Door Car,Medsize," $6,005 "
YM43461,Washington,Premium,College,Unemployed,M,0,Suburban,Single,Four-Door Car,Large," $14,083 "
BH23017,Nevada,Basic,Bachelor,Unemployed,F,0,Suburban,Single,Two-Door Car,Small," $19,117 "
OD18225,California,Extended,College,Employed,M,32918,Suburban,Married,Four-Door Car,Medsize," $6,632 "
VE31507,Oregon,Basic,High School or Below,Unemployed,F,0,Suburban,Single,Four-Door Car,Medsize," $7,432 "
NR18672,Nevada,Basic,High School or Below,Employed,M,63127,Rural,Married,Two-Door Car,Large," $2,928 "
DM76654,California,Extended,College,Employed,M,22022,Suburban,Single,SUV,Large," $46,612 "
YY11432,Oregon,Extended,High School or Below,Employed,F,51725,Rural,Married,SUV,Medsize," $16,515 "
BD77090,Washington,Basic,Bachelor,Employed,F,79090,Urban,Married,SUV,Medsize," $8,609 "
XA75063,Oregon,Extended,College,Employed,F,39719,Suburban,Divorced,Sports Car,Medsize," $10,214 "
PQ13422,Nevada,Extended,College,Employed,M,58194,Suburban,Married,Four-Door Car,Small," $10,049 "
NA89685,Oregon,Basic,College,Employed,M,61990,Rural,Married,Four-Door Car,Medsize," $5,746 "
AL35726,Oregon,Extended,College,Employed,F,41479,Rural,Married,Two-Door Car,Large," $3,747 "
WO70078,Oregon,Extended,Bachelor,Employed,F,97899,Rural,Divorced,Four-Door Car,Medsize," $7,486 "
CA56041,Nevada,Basic,College,Employed,F,63878,Urban,Married,SUV,Small," $9,120 "
AU46443,Nevada,Basic,Bachelor,Unemployed,F,0,Suburban,Single,SUV,Medsize," $7,517 "
WC35554,Oregon,Basic,College,Employed,M,34640,Urban,Married,Sports Car,Medsize," $4,531 "
FS19862,Arizona,Basic,Bachelor,Disabled,F,25198,Suburban,Married,SUV,Small," $9,112 "
ZP80713,Arizona,Basic,Master,Employed,F,79663,Urban,Divorced,Two-Door Car,Medsize," $2,772 "
OK50159,Arizona,Basic,Bachelor,Employed,F,31071,Rural,Single,Sports Car,Small," $4,306 "
FS49381,Oregon,Basic,Bachelor,Employed,F,25813,Urban,Divorced,Four-Door Car,Medsize," $4,785 "
DQ79499,Oregon,Extended,Doctor,Employed,F,59965,Suburban,Married,SUV,Medsize," $10,541 "
NM62724,Washington,Basic,High School or Below,Unemployed,M,0,Suburban,Single,Two-Door Car,Medsize," $2,179 "
VO25602,Nevada,Extended,College,Employed,F,98701,Rural,Married,Four-Door Car,Small," $7,611 "
EP93369,Arizona,Extended,College,Unemployed,F,0,Suburban,Single,Sports Car,Medsize," $8,511 "
DQ45854,Oregon,Basic,College,Employed,F,64388,Rural,Single,Four-Door Car,Medsize," $16,173 "
QG15661,Oregon,Basic,College,Employed,M,66841,Rural,Divorced,Four-Door Car,Medsize," $2,425 "
UP97629,California,Extended,College,Unemployed,F,0,Urban,Married,Four-Door Car,Medsize," $3,457 "
NU42684,Nevada,Extended,College,Employed,F,83431,Suburban,Married,Four-Door Car,Medsize," $3,395 "
FS42690,Washington,Extended,College,Employed,M,57647,Suburban,Married,Two-Door Car,Medsize," $3,781 "
BM69818,Oregon,Extended,Bachelor,Unemployed,M,0,Suburban,Divorced,Four-Door Car,Large," $5,842 "
HK15299,California,Basic,High School or Below,Employed,M,38210,Suburban,Married,Four-Door Car,Medsize," $5,480 "
NP88496,Nevada,Basic,High School or Below,Unemployed,F,0,Suburban,Married,Four-Door Car,Large," $20,455 "
VW82067,Washington,Basic,Master,Employed,F,97131,Suburban,Married,Four-Door Car,Small," $5,182 "
WT71621,Washington,Extended,Bachelor,Employed,F,63297,Urban,Married,Four-Door Car,Medsize," $3,280 "
OF24813,Washington,Basic,High School or Below,Employed,F,66014,Urban,Married,SUV,Medsize," $32,961 "
GH31557,California,Basic,High School or Below,Employed,M,98121,Suburban,Divorced,Two-Door Car,Small," $2,685 "
WI89081,Washington,Extended,Bachelor,Employed,M,93495,Urban,Married,SUV,Medsize," $10,393 "
HQ82089,Arizona,Premium,High School or Below,Unemployed,F,0,Suburban,Single,Four-Door Car,Medsize," $11,881 "
WQ46946,California,Extended,College,Employed,F,77153,Urban,Married,Four-Door Car,Medsize," $7,915 "
WJ44028,California,Extended,Master,Employed,M,94590,Suburban,Married,Two-Door Car,Medsize," $9,840 "
WH77063,Arizona,Premium,High School or Below,Employed,F,74163,Suburban,Married,Four-Door Car,Small," $4,352 "
FI13966,Oregon,Premium,High School or Below,Employed,F,40450,Suburban,Married,Luxury SUV,Small," $22,208 "
AQ46199,Oregon,Basic,High School or Below,Unemployed,M,0,Suburban,Single,Two-Door Car,Medsize," $4,825 "
RJ90816,California,Extended,College,Employed,F,33243,Rural,Married,Four-Door Car,Small," $3,345 "
NH19236,Arizona,Basic,Master,Unemployed,M,0,Urban,Married,Four-Door Car,Medsize," $2,358 "
NV14535,Nevada,Basic,High School or Below,Retired,M,20228,Suburban,Divorced,SUV,Medsize," $10,409 "
BM66931,Arizona,Basic,High School or Below,Employed,F,92801,Urban,Married,SUV,Medsize," $4,048 "
JW24035,Oregon,Basic,College,Unemployed,M,0,Suburban,Single,Four-Door Car,Medsize," $6,852 "
PG82270,California,Basic,College,Employed,M,36845,Suburban,Married,Four-Door Car,Small," $2,903 "
RW65101,California,Basic,College,Unemployed,F,0,Suburban,Single,Four-Door Car,Medsize," $18,039 "
QO79771,California,Extended,Master,Employed,F,72330,Rural,Married,Four-Door Car,Small," $3,242 "
EC44438,Nevada,Basic,Bachelor,Medical Leave,F,19352,Suburban,Married,Four-Door Car,Small," $2,468 "
MW54213,Arizona,Basic,College,Unemployed,M,0,Suburban,Married,Four-Door Car,Medsize," $5,674 "
ZN33412,Arizona,Extended,College,Disabled,F,25073,Suburban,Single,Four-Door Car,Medsize," $8,634 "
HZ56678,Oregon,Basic,High School or Below,Disabled,F,20261,Suburban,Divorced,Four-Door Car,Large," $2,780 "
AN36757,Oregon,Extended,Master,Employed,M,66851,Urban,Married,Four-Door Car,Medsize," $22,056 "
EJ90880,California,Basic,College,Employed,M,28786,Suburban,Married,Four-Door Car,Medsize," $2,790 "
BU53191,Arizona,Basic,Bachelor,Employed,F,34133,Rural,Divorced,SUV,Small," $8,834 "
ZK54897,Arizona,Premium,Master,Employed,M,60880,Rural,Married,Two-Door Car,Medsize," $14,436 "
PP48389,California,Premium,Bachelor,Unemployed,F,0,Suburban,Married,Sports Car,Medsize," $6,872 "
XD29421,Oregon,Basic,High School or Below,Employed,M,48115,Suburban,Married,Luxury Car,Large," $15,362 "
OP26403,California,Basic,College,Employed,F,32017,Suburban,Married,Four-Door Car,Small," $4,835 "
XK15687,Oregon,Extended,High School or Below,Employed,F,58518,Rural,Married,SUV,Medsize," $10,899 "
ED29955,California,Basic,Bachelor,Employed,M,61542,Suburban,Married,Four-Door Car,Medsize," $5,284 "
ZH35315,California,Basic,College,Disabled,M,22976,Suburban,Married,Four-Door Car,Large," $4,901 "
EE76374,Nevada,Basic,High School or Below,Unemployed,F,0,Suburban,Single,Four-Door Car,Medsize," $20,843 "
RF72106,Washington,Basic,College,Unemployed,M,0,Suburban,Single,Four-Door Car,Small," $8,416 "
BS13111,Arizona,Basic,Bachelor,Unemployed,M,0,Urban,Divorced,Four-Door Car,Medsize," $6,631 "
JP12645,Arizona,Basic,Bachelor,Employed,M,44428,Suburban,Single,SUV,Medsize," $12,037 "
ZF28570,Nevada,Premium,Bachelor,Employed,M,52361,Suburban,Single,Four-Door Car,Medsize," $3,895 "
UU93074,California,Premium,College,Employed,M,32435,Suburban,Married,Luxury Car,Medsize," $11,701 "
SZ60450,California,Extended,High School or Below,Employed,M,40272,Rural,Married,Two-Door Car,Medsize," $3,419 "
HL63895,Arizona,Basic,Master,Employed,M,30492,Urban,Married,Four-Door Car,Medsize," $7,303 "
UD27196,Arizona,Extended,High School or Below,Employed,M,51524,Suburban,Married,Luxury Car,Small," $19,685 "
RP30093,Oregon,Premium,Bachelor,Employed,F,63035,Suburban,Married,SUV,Medsize," $49,221 "
CS93971,Arizona,Basic,College,Retired,F,21073,Suburban,Divorced,SUV,Small," $7,805 "
RG13940,California,Basic,College,Unemployed,F,0,Suburban,Single,Four-Door Car,Large," $13,198 "
ZG94155,Oregon,Extended,Bachelor,Unemployed,M,0,Rural,Married,Two-Door Car,Large," $6,234 "
QN15356,Arizona,Basic,College,Unemployed,M,0,Suburban,Single,Four-Door Car,Large," $7,540 "
DO98345,Oregon,Extended,High School or Below,Employed,M,72517,Urban,Married,Two-Door Car,Medsize," $13,157 "
EQ69638,Washington,Extended,College,Unemployed,M,0,Suburban,Single,Four-Door Car,Small," $5,108 "
UK76814,Oregon,Basic,Doctor,Employed,F,84424,Urban,Married,Four-Door Car,Medsize," $5,339 "
SR30440,California,Basic,College,Employed,F,43383,Suburban,Married,SUV,Medsize," $8,649 "
LX99948,Washington,Basic,Master,Employed,F,65134,Urban,Married,SUV,Small," $4,529 "
DK98861,Arizona,Basic,College,Employed,F,94125,Urban,Married,SUV,Medsize," $13,160 "
JX14364,Oregon,Basic,College,Employed,M,39778,Suburban,Married,SUV,Medsize," $13,236 "
LI85491,Oregon,Basic,High School or Below,Unemployed,F,0,Suburban,Single,SUV,Small," $3,745 "
JY87538,Oregon,Basic,College,Employed,F,91871,Urban,Single,SUV,Medsize," $28,486 "
WK99918,Oregon,Extended,Doctor,Employed,M,57709,Suburban,Married,SUV,Medsize," $5,073 "
JG84729,Arizona,Basic,College,Unemployed,F,0,Suburban,Single,Four-Door Car,Medsize," $14,182 "
UX71137,Washington,Premium,Doctor,Employed,F,69205,Urban,Married,Four-Door Car,Medsize," $8,876 "
ND29059,Oregon,Extended,Bachelor,Employed,M,78011,Urban,Married,SUV,Medsize," $11,078 "
HC76653,Oregon,Basic,College,Employed,M,32931,Suburban,Married,Four-Door Car,Medsize," $2,436 "
SG73822,California,Premium,Bachelor,Employed,F,99517,Rural,Divorced,Four-Door Car,Medsize," $8,744 "
CB44654,Arizona,Basic,Bachelor,Employed,M,59665,Urban,Single,Two-Door Car,Medsize," $2,410 "
MQ15074,Washington,Basic,High School or Below,Employed,M,28082,Suburban,Married,Four-Door Car,Medsize," $2,499 "
TP15362,Oregon,Extended,College,Employed,M,28013,Suburban,Divorced,Four-Door Car,Medsize," $3,592 "
YX90754,Nevada,Basic,High School or Below,Employed,F,55478,Urban,Married,Two-Door Car,Medsize," $8,540 "
TS50305,California,Basic,High School or Below,Unemployed,F,0,Suburban,Single,SUV,Medsize," $3,979 "
TJ48439,Oregon,Basic,College,Unemployed,F,0,Suburban,Single,Two-Door Car,Small," $2,321 "
TE61015,Oregon,Basic,College,Unemployed,M,0,Suburban,Married,Four-Door Car,Medsize," $5,087 "
RD89159,Oregon,Premium,College,Employed,M,58842,Suburban,Married,Four-Door Car,Medsize," $4,363 "
VW86720,Oregon,Basic,Bachelor,Unemployed,F,0,Suburban,Single,Four-Door Car,Small," $7,457 "
UM76485,Oregon,Basic,College,Unemployed,M,0,Suburban,Single,SUV,Medsize," $7,028 "
LS62045,Oregon,Basic,Bachelor,Employed,F,70037,Suburban,Married,Four-Door Car,Large," $2,832 "
ZG84862,Nevada,Basic,High School or Below,Unemployed,M,0,Suburban,Single,Two-Door Car,Small," $4,218 "
FO99259,California,Premium,Bachelor,Retired,M,26630,Suburban,Divorced,Four-Door Car,Medsize," $8,366 "
KN87338,Oregon,Basic,High School or Below,Employed,F,48039,Rural,Married,Four-Door Car,Medsize," $2,726 "
LT89398,California,Extended,High School or Below,Unemployed,M,0,Suburban,Married,Four-Door Car,Small," $3,420 "
NZ19529,Arizona,Extended,High School or Below,Unemployed,M,0,Suburban,Single,SUV,Medsize," $4,839 "
LH92841,Washington,Extended,Bachelor,Employed,F,88891,Rural,Married,Four-Door Car,Medsize," $7,256 "
XR84971,Oregon,Extended,Doctor,Employed,F,36537,Rural,Single,Four-Door Car,Medsize," $23,516 "
BP83941,Arizona,Basic,Master,Unemployed,F,0,Suburban,Married,SUV,Medsize," $8,396 "
PY80449,Arizona,Extended,High School or Below,Employed,M,53603,Suburban,Married,Sports Car,Medsize," $5,171 "
OF47250,California,Basic,Doctor,Employed,F,92374,Rural,Divorced,SUV,Medsize," $8,639 "
UV80201,Oregon,Basic,Bachelor,Unemployed,F,0,Suburban,Single,Sports Car,Medsize," $8,385 "
PY10605,Arizona,Basic,Bachelor,Unemployed,M,0,Suburban,Single,Two-Door Car,Medsize," $4,633 "
JI82682,California,Basic,High School or Below,Unemployed,F,0,Suburban,Married,Four-Door Car,Medsize," $2,480 "
BU14748,Arizona,Extended,High School or Below,Employed,M,50755,Suburban,Married,Two-Door Car,Medsize," $3,619 "
MY43761,California,Extended,High School or Below,Employed,M,50607,Suburban,Single,SUV,Large," $10,738 "
ZU74482,Oregon,Basic,College,Employed,M,60920,Urban,Single,Two-Door Car,Medsize," $7,507 "
YU86594,Oregon,Basic,High School or Below,Employed,M,55674,Rural,Married,Four-Door Car,Medsize," $5,333 "
HS28694,Washington,Basic,High School or Below,Employed,F,25317,Rural,Married,Two-Door Car,Medsize," $2,830 "
IL83479,Oregon,Extended,College,Employed,F,42983,Suburban,Married,Four-Door Car,Medsize," $3,484 "
JZ81608,Oregon,Extended,High School or Below,Employed,M,53808,Rural,Married,Four-Door Car,Medsize," $6,979 "
EO40136,Arizona,Basic,College,Employed,F,93403,Urban,Divorced,Four-Door Car,Small," $2,912 "
PO89542,Oregon,Basic,Bachelor,Unemployed,F,0,Suburban,Married,Four-Door Car,Medsize," $5,010 "
FX57380,California,Basic,Bachelor,Employed,F,39854,Urban,Divorced,Two-Door Car,Medsize," $5,218 "
NM22175,Oregon,Premium,College,Unemployed,M,0,Suburban,Married,SUV,Large," $11,490 "
BC97773,Nevada,Basic,Master,Employed,F,91368,Suburban,Divorced,Four-Door Car,Large," $2,865 "
MN34012,Arizona,Basic,Bachelor,Unemployed,M,0,Suburban,Married,SUV,Medsize," $8,404 "
KY29506,California,Premium,College,Employed,F,92850,Suburban,Single,Four-Door Car,Small," $20,396 "
LC44944,Washington,Premium,Doctor,Unemployed,F,0,Suburban,Married,Four-Door Car,Small," $36,470 "
HC20975,Arizona,Basic,Bachelor,Employed,M,30915,Suburban,Married,Four-Door Car,Large," $16,728 "
IF87079,Arizona,Basic,Master,Employed,F,48927,Rural,Divorced,Four-Door Car,Medsize," $5,801 "
EP18940,Oregon,Extended,Bachelor,Unemployed,F,0,Suburban,Married,Four-Door Car,Medsize," $9,473 "
SB44003,Arizona,Extended,College,Employed,F,61108,Rural,Divorced,Four-Door Car,Medsize," $10,485 "
VP89545,Arizona,Basic,College,Unemployed,M,0,Suburban,Married,Four-Door Car,Medsize," $4,523 "
HJ58678,Nevada,Basic,College,Employed,F,57587,Urban,Divorced,Four-Door Car,Medsize," $5,418 "
SH51981,Washington,Basic,College,Employed,M,70301,Suburban,Divorced,Four-Door Car,Small," $5,246 "
WC42895,California,Basic,Bachelor,Employed,F,65724,Rural,Single,Four-Door Car,Medsize," $22,110 "
OP54725,Washington,Premium,College,Employed,M,53351,Suburban,Married,Four-Door Car,Small," $9,541 "
WV15213,California,Basic,Bachelor,Employed,M,84658,Rural,Single,Four-Door Car,Medsize," $2,447 "
GX37592,Nevada,Basic,College,Employed,F,33257,Suburban,Married,Four-Door Car,Medsize," $5,676 "
PA48777,Washington,Basic,High School or Below,Medical Leave,F,25965,Suburban,Divorced,Four-Door Car,Medsize," $2,491 "
YJ59924,Oregon,Extended,College,Employed,M,31115,Suburban,Married,Four-Door Car,Medsize," $7,308 "
OO35641,Oregon,Basic,College,Employed,F,78487,Urban,Divorced,SUV,Medsize," $32,872 "
QH56750,Arizona,Basic,High School or Below,Unemployed,M,0,Suburban,Single,Four-Door Car,Medsize," $20,701 "
ES16126,California,Premium,College,Employed,M,60475,Suburban,Married,Four-Door Car,Medsize," $4,330 "
PG42834,Arizona,Extended,Bachelor,Employed,F,26577,Rural,Married,Four-Door Car,Medsize," $6,293 "
OY44814,Arizona,Basic,High School or Below,Unemployed,M,0,Suburban,Single,Two-Door Car,Medsize," $4,918 "
JI97190,California,Basic,High School or Below,Employed,M,43461,Suburban,Married,Two-Door Car,Large," $5,166 "
ZK61113,Oregon,Extended,High School or Below,Unemployed,M,0,Suburban,Single,Two-Door Car,Medsize," $6,292 "
TP61305,California,Extended,High School or Below,Unemployed,M,0,Suburban,Single,Four-Door Car,Medsize," $6,062 "
ZO14864,Washington,Extended,Master,Employed,F,42526,Urban,Divorced,Two-Door Car,Medsize," $3,417 "
OH15677,California,Basic,High School or Below,Unemployed,M,0,Suburban,Single,Sports Car,Medsize," $3,743 "
HB53755,Oregon,Basic,High School or Below,Unemployed,F,0,Suburban,Single,Sports Car,Medsize," $3,850 "
UF77079,Arizona,Extended,High School or Below,Employed,F,58361,Rural,Married,Four-Door Car,Medsize," $15,266 "
TD20252,Arizona,Basic,College,Employed,M,74092,Suburban,Married,Four-Door Car,Medsize," $5,318 "
JC45487,Washington,Basic,High School or Below,Employed,M,73168,Suburban,Married,Four-Door Car,Medsize," $5,640 "
PU95227,Washington,Extended,Bachelor,Employed,M,22853,Urban,Married,Four-Door Car,Medsize," $3,362 "
OY92520,California,Extended,Bachelor,Medical Leave,F,12075,Suburban,Married,Four-Door Car,Medsize," $7,265 "
UY95530,California,Basic,College,Employed,M,62464,Urban,Married,Sports Car,Medsize," $8,659 "
FB84235,Oregon,Basic,College,Medical Leave,M,22520,Suburban,Married,Four-Door Car,Medsize," $5,499 "
MJ14480,Arizona,Basic,High School or Below,Employed,F,35012,Suburban,Single,Four-Door Car,Medsize," $5,599 "
KW81128,Arizona,Extended,College,Employed,F,95140,Rural,Divorced,Sports Car,Medsize," $15,228 "
WN53966,California,Extended,Master,Employed,M,85871,Rural,Married,Four-Door Car,Medsize," $3,693 "
LM34525,Washington,Basic,College,Employed,F,71592,Rural,Divorced,Four-Door Car,Medsize," $8,742 "
GF97874,Washington,Basic,Master,Employed,F,70446,Rural,Married,Four-Door Car,Medsize," $5,276 "
WV79842,California,Extended,High School or Below,Employed,M,24314,Suburban,Married,Luxury SUV,Medsize," $9,284 "
ZU88029,Oregon,Basic,Master,Retired,F,26161,Suburban,Single,Sports Car,Large," $4,065 "
HW54198,Nevada,Basic,Master,Employed,M,94186,Rural,Married,Four-Door Car,Medsize," $5,202 "
YA11342,California,Premium,High School or Below,Unemployed,M,0,Suburban,Married,Four-Door Car,Medsize," $7,673 "
QZ17137,Arizona,Extended,High School or Below,Employed,F,45944,Rural,Married,Two-Door Car,Medsize," $3,331 "
UV53712,California,Basic,College,Employed,F,59649,Rural,Married,Four-Door Car,Medsize," $5,562 "
VW46878,Oregon,Basic,High School or Below,Employed,F,59648,Suburban,Married,Four-Door Car,Medsize," $7,920 "
QK18099,Washington,Basic,College,Employed,F,69050,Suburban,Married,Four-Door Car,Large," $5,376 "
WN14473,Arizona,Basic,Master,Employed,M,87798,Urban,Married,Two-Door Car,Medsize," $2,882 "
WH62198,California,Basic,Bachelor,Unemployed,M,0,Suburban,Divorced,Four-Door Car,Small," $2,213 "
SP85148,California,Basic,Master,Employed,F,43811,Suburban,Married,Sports Car,Small," $9,430 "
TS42594,California,Premium,High School or Below,Employed,F,59207,Suburban,Single,Four-Door Car,Medsize," $13,771 "
FL85008,Oregon,Basic,High School or Below,Disabled,F,11432,Suburban,Married,SUV,Small," $13,467 "
AN47199,Nevada,Extended,College,Unemployed,F,0,Rural,Married,Two-Door Car,Large," $8,858 "
IC78105,Arizona,Basic,High School or Below,Disabled,F,26444,Suburban,Married,Luxury Car,Medsize," $7,745 "
RB28630,Oregon,Basic,High School or Below,Employed,F,39381,Suburban,Married,Four-Door Car,Small," $5,895 "
KA32645,Nevada,Extended,College,Unemployed,M,0,Suburban,Single,Four-Door Car,Medsize," $5,771 "
QD73891,Oregon,Basic,High School or Below,Employed,M,90217,Suburban,Married,Four-Door Car,Small," $5,261 "
LM58949,Oregon,Basic,High School or Below,Disabled,M,24248,Suburban,Married,Four-Door Car,Medsize," $2,404 "
YG40323,Arizona,Premium,Bachelor,Employed,M,99368,Rural,Married,Four-Door Car,Medsize," $9,125 "
RU50098,Arizona,Basic,Master,Employed,F,34990,Rural,Single,Four-Door Car,Medsize," $2,574 "
QW10541,California,Basic,High School or Below,Employed,F,25714,Suburban,Married,Two-Door Car,Small," $5,320 "
SB50826,Oregon,Extended,College,Employed,M,61091,Urban,Single,Two-Door Car,Medsize," $7,496 "
XX29952,Arizona,Premium,College,Employed,M,88184,Rural,Married,Four-Door Car,Medsize," $12,175 "
AT93647,California,Basic,College,Employed,F,60252,Urban,Married,Four-Door Car,Medsize," $2,606 "
QP56563,Oregon,Basic,College,Employed,M,80985,Rural,Married,Four-Door Car,Medsize," $2,707 "
TN76120,Washington,Basic,Bachelor,Employed,M,36088,Suburban,Single,Four-Door Car,Medsize," $5,528 "
TY43440,California,Basic,High School or Below,Employed,M,99845,Suburban,Married,SUV,Medsize," $8,819 "
WO59883,Washington,Basic,High School or Below,Employed,F,29822,Suburban,Single,Two-Door Car,Medsize," $19,014 "
MM45334,Oregon,Basic,College,Employed,F,40803,Rural,Single,Four-Door Car,Medsize," $8,170 "
KH93988,Oregon,Extended,College,Employed,F,71134,Rural,Married,Two-Door Car,Medsize," $7,709 "
RY38931,Arizona,Basic,Bachelor,Employed,M,36088,Suburban,Single,Four-Door Car,Medsize," $5,528 "
CV48634,Nevada,Basic,College,Employed,M,29431,Rural,Married,SUV,Medsize," $12,128 "
IH48064,Washington,Basic,High School or Below,Employed,M,68073,Suburban,Married,SUV,Medsize," $9,080 "
ZS96174,Oregon,Basic,College,Medical Leave,M,17937,Suburban,Single,Two-Door Car,Medsize," $6,797 "
MI62456,Arizona,Extended,Bachelor,Retired,F,23376,Suburban,Divorced,Four-Door Car,Medsize," $2,867 "
DD44177,California,Basic,Doctor,Disabled,F,21986,Suburban,Divorced,Two-Door Car,Medsize," $2,396 "
QB14087,California,Basic,College,Employed,F,44934,Suburban,Married,Four-Door Car,Medsize," $4,869 "
AV76907,Oregon,Basic,College,Employed,F,40864,Rural,Married,SUV,Medsize," $4,283 "
VM85555,California,Basic,College,Employed,F,22668,Rural,Single,Four-Door Car,Medsize," $7,750 "
ZU88113,Oregon,Extended,College,Employed,M,90751,Urban,Married,Two-Door Car,Medsize," $6,627 "
SZ75668,Oregon,Basic,College,Employed,M,44186,Urban,Married,Four-Door Car,Medsize," $7,475 "
MZ65087,Oregon,Basic,College,Employed,M,92678,Rural,Divorced,Four-Door Car,Small," $5,561 "
EL61402,Arizona,Extended,Bachelor,Employed,F,74257,Urban,Married,Four-Door Car,Large," $6,098 "
XM11175,Arizona,Extended,College,Unemployed,M,0,Suburban,Single,Four-Door Car,Small," $5,994 "
LF41085,Arizona,Basic,College,Medical Leave,F,19591,Rural,Divorced,Two-Door Car,Medsize," $5,635 "
MB19556,California,Extended,College,Employed,F,29095,Suburban,Married,SUV,Medsize," $5,067 "
JI25066,Arizona,Basic,Bachelor,Employed,F,61785,Urban,Married,Two-Door Car,Large," $4,928 "
RA65645,California,Basic,High School or Below,Employed,M,95697,Rural,Married,Sports Car,Medsize," $8,565 "
FQ79356,California,Basic,Bachelor,Medical Leave,F,18064,Urban,Married,Four-Door Car,Medsize," $2,362 "
TM25808,California,Basic,High School or Below,Employed,M,74720,Urban,Divorced,Two-Door Car,Medsize," $5,566 "
XO46388,California,Basic,Bachelor,Disabled,F,22594,Suburban,Married,Four-Door Car,Medsize," $5,147 "
LB81265,Arizona,Basic,Bachelor,Employed,F,40987,Urban,Divorced,Four-Door Car,Medsize," $2,938 "
